City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,8.08,97,100,13.87,TF,1712253531
1,saipan,15.1355,145.701,26.39,78,75,6.69,MP,1712253531
2,waitangi,-43.9535,-176.5597,14.9,97,100,2.24,NZ,1712253531
3,aasiaat,68.7098,-52.8699,-5.85,89,97,0.85,GL,1712253531
4,peniche,39.3558,-9.3811,18.38,80,100,7.81,PT,1712253531
5,mejit,10.2753,170.8646,26.7,80,100,7.84,MH,1712253531
6,albany,42.6001,-73.9662,3.19,79,100,1.79,US,1712253531
7,adamstown,-25.066,-130.1015,22.55,67,40,4.72,PN,1712253531
8,edinburgh of the seven seas,-37.0676,-12.3116,17.07,81,98,10.13,SH,1712253531
9,grytviken,-54.2811,-36.5092,5.47,83,91,1.93,GS,1712253531
10,broken hill,-31.95,141.4333,14.3,55,0,5.71,AU,1712253308
11,bilibino,68.0546,166.4372,-26.62,96,28,1.18,RU,1712253532
12,del rio,29.3627,-100.8968,30.07,12,0,2.57,US,1712253375
13,mount isa,-20.7333,139.5,20.87,64,1,6.17,AU,1712253532
14,ebon,4.582,168.6964,27.67,79,100,7.61,MH,1712253532
15,lazaro cardenas,17.9583,-102.2,26.99,54,6,4.1,MX,1712253404
16,iqaluit,63.7506,-68.5145,-8.15,67,20,10.8,CA,1712253532
17,champerico,14.3,-91.9167,33.3,61,3,5.15,GT,1712253532
18,papatowai,-46.5619,169.4708,9.54,74,86,4.09,NZ,1712253532
19,sinabang,2.4803,96.3801,27.5,84,100,1.66,ID,1712253532
20,bethel,41.3712,-73.414,7.09,76,100,5.66,US,1712253532
21,anadyr,64.75,177.4833,-12.72,92,40,7.0,RU,1712253532
22,ciudad lazaro cardenas,17.9583,-102.2,26.99,54,6,4.1,MX,1712253532
23,hotan,37.0997,79.9269,14.35,19,100,2.63,CN,1712253532
24,askale,39.9208,40.695,11.64,80,79,2.31,TR,1712253533
25,keflavik,64.0049,-22.5624,2.95,100,100,9.77,IS,1712253533
26,punta arenas,-53.15,-70.9167,10.01,57,0,11.83,CL,1712253533
27,olonkinbyen,70.9221,-8.7187,-5.3,73,80,6.93,SJ,1712253533
28,puerto ayora,-0.7393,-90.3518,28.98,90,99,2.68,EC,1712253533
29,ancud,-41.8697,-73.8203,14.44,75,51,3.55,CL,1712253533
30,ust-nera,64.5667,143.2,-20.45,98,88,1.46,RU,1712253533
31,hamilton,39.1834,-84.5333,7.43,87,100,6.17,US,1712253497
32,bel ombre,-4.6167,55.4167,27.91,89,40,1.03,SC,1712253533
33,hawaiian paradise park,19.5933,-154.9731,22.1,95,75,4.63,US,1712253533
34,talnakh,69.4865,88.3972,-29.89,99,37,0.45,RU,1712253533
35,richards bay,-28.783,32.0377,24.63,83,57,5.71,ZA,1712253533
36,margate,51.3813,1.3862,13.26,72,65,5.36,GB,1712253259
37,wailua homesteads,22.0669,-159.378,23.24,73,75,8.23,US,1712253534
38,thompson,55.7435,-97.8558,3.09,38,75,2.06,CA,1712253534
39,qaqortoq,60.7167,-46.0333,-1.56,75,3,1.65,GL,1712253534
40,boda,4.3189,17.4695,23.71,86,97,1.16,CF,1712253534
41,west island,-12.1568,96.8225,26.99,78,40,6.17,CC,1712253534
42,port elizabeth,-33.918,25.5701,21.17,89,25,9.39,ZA,1712253534
43,reggane,26.7158,0.1714,31.79,10,0,7.7,DZ,1712253534
44,polyarnyy,69.1989,33.4478,-8.33,71,100,4.23,RU,1712253534
45,port alfred,-33.5906,26.891,22.88,70,18,4.33,ZA,1712253534
46,klyuchi,52.2667,79.1667,8.45,58,21,2.76,RU,1712253535
47,nova sintra,14.8667,-24.7167,23.75,77,5,8.72,CV,1712253535
48,blackmans bay,-43.0167,147.3167,8.07,92,8,0.89,AU,1712253535
49,lospalos,-8.5186,127.0025,23.02,95,100,1.39,TL,1712253535
50,bac lieu,9.285,105.7244,27.95,73,32,3.84,VN,1712253535
51,alice springs,-23.7,133.8833,15.68,50,0,2.06,AU,1712253310
52,hampton bays,40.869,-72.5176,6.11,83,100,8.49,US,1712253378
53,meadow lake,34.8014,-106.5436,20.38,26,0,5.67,US,1712253535
54,praia,14.9215,-23.5087,30.3,30,0,7.2,CV,1712253412
55,vila velha,-20.3297,-40.2925,28.97,70,20,6.17,BR,1712253246
56,tamanrasset,22.785,5.5228,30.95,7,0,0.0,DZ,1712253535
57,enewetak,11.3474,162.3373,26.86,77,100,8.46,MH,1712253535
58,ushuaia,-54.8,-68.3,6.81,61,75,13.89,AR,1712253535
59,saint-philippe,-21.3585,55.7679,24.77,91,66,4.69,RE,1712253536
60,college,64.8569,-147.8028,-1.22,76,75,2.57,US,1712253536
61,laguna,38.421,-121.4238,10.98,72,100,6.17,US,1712253451
62,georgetown,5.4112,100.3354,30.96,79,40,5.66,MY,1712253338
63,illizi,26.4833,8.4667,33.89,10,97,7.7,DZ,1712253536
64,puerto natales,-51.7236,-72.4875,11.25,54,75,12.35,CL,1712253536
65,igarapava,-20.0383,-47.7469,31.51,54,28,1.49,BR,1712253536
66,trail,49.0998,-117.7022,9.82,59,99,2.19,CA,1712253448
67,lebu,-37.6167,-73.65,16.27,67,0,4.11,CL,1712253536
68,castillos,-34.1667,-53.8333,21.35,67,31,3.22,UY,1712253536
69,visakhapatnam,17.69,83.2093,28.94,84,20,1.03,IN,1712253536
70,kingston,17.997,-76.7936,31.2,65,20,6.17,JM,1712253536
71,bardai,11.65,7.2333,34.58,21,61,4.3,NG,1712253536
72,kikwit,-5.041,18.8162,27.14,68,90,0.39,CD,1712253537
73,puerto deseado,-47.7503,-65.8938,12.91,40,7,14.56,AR,1712253537
74,sabang,5.8933,95.3214,29.38,70,68,1.85,ID,1712253537
75,tulun,54.5611,100.5792,3.73,93,100,7.15,RU,1712253537
76,avarua,-21.2078,-159.775,25.03,88,57,1.54,CK,1712253537
77,gadzhiyevo,69.2551,33.3362,-9.26,71,100,4.16,RU,1712253537
78,udachny,66.4167,112.4,-16.42,96,92,6.42,RU,1712253537
79,invercargill,-46.4,168.35,10.57,74,92,1.79,NZ,1712253537
80,nar'yan-mar,67.6713,53.087,-15.5,88,100,8.49,RU,1712253537
81,kualakapuas,-3.0091,114.3876,24.7,98,100,0.62,ID,1712253537
82,kone,-21.0595,164.8658,23.96,88,38,1.6,NC,1712253537
83,adrar,20.5022,-10.0711,36.6,8,2,1.46,MR,1712253537
84,kiunga,-6.1219,141.2906,23.68,100,100,0.94,PG,1712253538
85,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,86,20,5.36,RU,1712253538
86,kapuskasing,49.4169,-82.4331,4.05,65,75,4.12,CA,1712253538
87,carnarvon,-24.8667,113.6333,26.23,47,0,4.44,AU,1712253538
88,ngama,11.7833,17.1667,34.21,8,98,3.45,TD,1712253538
89,el hamma,33.8915,9.7963,19.62,50,0,7.33,TN,1712253538
90,madimba,-10.4,40.3333,26.62,94,40,2.57,TZ,1712253538
91,colonia,50.9333,6.95,15.36,70,20,5.14,DE,1712253353
92,bantogon,6.5333,124.0333,27.27,76,100,1.12,PH,1712253538
93,bamiantong,44.9333,130.5333,2.14,55,4,3.65,CN,1712253538
94,margaret river,-33.95,115.0667,15.93,48,27,3.74,AU,1712253538
95,luanda,-8.8368,13.2343,29.0,83,75,5.14,AO,1712253538
96,nuuk,64.1835,-51.7216,-0.07,79,4,9.39,GL,1712253539
97,gorontalo,0.5412,123.0595,23.93,95,99,1.53,ID,1712253539
98,saint-joseph,-21.3667,55.6167,24.21,90,44,3.98,RE,1712253539
99,utrik,11.2278,169.8474,26.43,79,99,8.66,MH,1712253539
100,bela vista,-22.1089,-56.5211,37.04,31,37,3.39,BR,1712253535
101,susuman,62.7833,148.1667,-25.01,100,59,0.89,RU,1712253510
102,tiksi,71.6872,128.8694,-25.37,99,100,6.54,RU,1712253539
